ItemGroup,Item,Site,Item_location,Family_Code,Week,Year,Week_Year,Demand,Prod_Start,POs,R_Create_Date,Receipts,Inventory_PO,Inventory_R,Demand_I,Demand_R,Demand_RI,Inventory_D,Inventory,Transfer_In,Transfer_Out,SS_Weeks,WOS,Sim_Inv,Sim_WOS,VendorId,Week_Date
FBGB,20061751052,3220,20061751052_3220,900BR,11,2024,11_2024,7,0,0,null,0,4,0,0,0,0,0,4,0,0,7,0.64,20,3.19,20008777,3/17/2024
FBGB,20061751057,3210,20061751057_3210,900BR,11,2024,11_2024,16,0,0,null,0,-34,0,0,0,0,0,-34,0,0,7,-2.37,-34,-2.37,20008777,3/17/2024
FBGB,20061751058,3210,20061751058_3210,900BR,11,2024,11_2024,16,0,0,null,0,4,0,0,0,0,0,4,0,0,7,0.28,4,0.28,20008777,3/17/2024
FBGB,20061751033,3010,20061751033_3010,900BR,11,2024,11_2024,3,0,0,null,0,27,0,0,0,0,0,27,0,0,7,10.24,27,10.24,20008777,3/17/2024
FBGB,20061751052,3010,20061751052_3010,900BR,11,2024,11_2024,11,0,0,null,0,5,0,0,0,0,0,5,0,0,7,0.49,5,0.49,20008777,3/17/2024
FBGB,20061751053,3210,20061751053_3210,900BR,11,2024,11_2024,17,0,0,null,0,41,0,0,0,0,0,41,0,0,7,2.67,41,2.67,20008777,3/17/2024
FBGB,20061751052,3200,20061751052_3200,900BR,11,2024,11_2024,8,0,0,null,0,-1,0,0,0,0,0,-1,0,0,7,-0.14,-1,-0.14,20008777,3/17/2024
FBGB,20061751001,3000,20061751001_3000,900BR,11,2024,11_2024,1,0,0,null,0,-3,0,0,0,0,0,-3,0,0,7,-3,-3,-3,20008777,3/17/2024
FBGB,20061751057,3000,20061751057_3000,900BR,11,2024,11_2024,21,0,0,null,0,-4,0,0,0,0,0,-4,0,0,7,-0.21,-4,-0.21,20008777,3/17/2024
FBGB,20061751057,3200,20061751057_3200,900BR,11,2024,11_2024,13,0,0,null,0,-19,0,0,0,0,0,-19,0,0,7,-1.62,-19,-1.62,20008777,3/17/2024
FBGB,20061751061,3210,20061751061_3210,900BR,11,2024,11_2024,12,0,0,null,0,-20,0,0,0,0,0,-20,0,0,7,-1.8,-20,-1.8,20008777,3/17/2024
FBGB,20061751061,3220,20061751061_3220,900BR,11,2024,11_2024,6,0,0,null,0,-17,0,0,0,0,0,-17,0,0,7,-3.02,-11,-1.95,20008777,3/17/2024
FBGB,20061751058,3000,20061751058_3000,900BR,11,2024,11_2024,21,0,0,null,0,-3,0,0,0,0,0,-3,0,0,7,-0.15,24,1.24,20008777,3/17/2024
FBGB,20061751002,3000,20061751002_3000,900BR,11,2024,11_2024,1,0,0,null,0,1,0,0,0,0,0,1,0,0,7,1,1,1,20008777,3/17/2024
FBGB,20061751002,3010,20061751002_3010,900BR,11,2024,11_2024,1,0,0,null,0,5,0,0,0,0,0,5,0,0,7,5,5,5,20008777,3/17/2024
FBGB,20061751065,3220,20061751065_3220,900BR,11,2024,11_2024,9,0,0,null,0,-3,0,0,0,0,0,-3,0,0,7,-0.36,-3,-0.36,20008777,3/17/2024
FBGB,20061751053,3200,20061751053_3200,900BR,11,2024,11_2024,9,0,0,null,0,4,0,0,0,0,0,4,0,0,7,0.48,4,0.48,20008777,3/17/2024
FBGB,20061751058,3200,20061751058_3200,900BR,11,2024,11_2024,14,0,0,null,0,-8,0,0,0,0,0,-8,0,0,7,-0.65,-8,-0.65,20008777,3/17/2024
FBGB,20061751001,3200,20061751001_3200,900BR,11,2024,11_2024,1,0,0,null,0,-1,0,0,0,0,0,-1,0,0,7,-1,-1,-1,20008777,3/17/2024
FBGB,20061751057,3010,20061751057_3010,900BR,11,2024,11_2024,15,0,0,10/27/2023,12,-30,0,0,0,0,0,-30,0,0,7,-2.16,-30,-2.16,20008777,3/17/2024
FBGB,20061751033,3200,20061751033_3200,900BR,11,2024,11_2024,3,0,0,null,0,25,0,0,0,0,0,25,0,0,7,11.96,25,11.96,20008777,3/17/2024
FBGB,20061751065,3210,20061751065_3210,900BR,11,2024,11_2024,12,0,0,null,0,-34,0,0,0,0,0,-34,0,0,7,-3.17,-34,-3.17,20008777,3/17/2024
